position;url;title;description;tag
4;https://www.usatoday.com/sports/;Sports News, Scores, Predictions and Analysis - USA TODAY;USA TODAY provides the latest sports news, scores, schedules, stats, odds and more for the NFL, MLB, NBA, NHL, college sports and more.;sports
5;https://www.cbssports.com/;CBS Sports - News, Live Scores, Schedules, Fantasy Games, Video and more. - CBSSports.com;CBS Sports features live scoring, news, stats, and player info for NFL football, MLB baseball, NBA basketball, NHL hockey, college basketball and football.;sports
6;https://www.nbcsports.com/;NBC Sports - news, scores, stats, rumors, videos, and more;Stay up-to-date with the latest sports news and scores from NBC Sports.;sports
7;https://www.reuters.com/sports/;Sports News | Breaking & Latest Sports News | Reuters;Find latest sports news from every corner of the globe at Reuters.com, your online source for breaking international news coverage.;sports
8;https://www.cnn.com/sport;Latest sports news, videos, interviews and comment | CNN;Latest sports news from around the world with in-depth analysis, features, photos and videos covering football, tennis, motorsport, golf, rugby, sailing, skiing, horse racing and equestrian.;sports
9;https://abcnews.go.com/Sports;Sports News & Articles – Scores, Pictures, Videos - ABC News;Find the latest sports news and articles on the NFL, MLB, NBA, NHL, NCAA college football, NCAA college basketball and more at ABC News.;sports
10;https://www.nytimes.com/section/sports;Sports - The New York Times;Find breaking news, features and analysis on the NFL, NBA, MLB, golf, tennis, soccer, NCAA, NHL, World Series, Super Bowl, Olympics, World Cup and more.;sports
1;https://www.nbcnews.com/;NBC News - Breaking News & Top Stories - Latest World, US & Local News | NBC News;Go to NBCNews.com for breaking news, videos, and the latest top stories in world news, business, politics, health and pop culture.;news
2;https://www.cnn.com/;Breaking News, Latest News and Videos | CNN;View the latest news and breaking news today for U.S., world, weather, entertainment, politics and health at CNN.com.;news
3;https://www.foxnews.com/;Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos;Breaking News, Latest News and Current News from FOXNews.com. Breaking news and video. Latest Current News: U.S., World, Entertainment, Health, Business, Technology, Politics, Sports.;news
4;https://abcnews.go.com/;ABC News - Breaking News, Latest News and Videos;Your trusted source for breaking news, analysis, exclusive interviews, headlines, and videos at ABCNews.com;news
5;https://apnews.com/;Associated Press News: Breaking News, Latest Headlines and Videos | AP News;Read the latest headlines, breaking news, and videos at APNews.com, the definitive source for independent journalism from every corner of the globe.;news
6;https://www.npr.org/sections/news/;News: U.S. and World News Headlines : NPR;NPR news, audio, and podcasts. Coverage of breaking stories, national and world news, politics, business, science, technology, and extended coverage of major national and world events.;news
7;https://www.cbsnews.com/;CBS News - Breaking news, 24/7 live streaming news & top stories;Watch CBS News live and get the latest, breaking news headlines of the day for national news and world news today.;news
8;https://news.yahoo.com/;Yahoo News - Latest News & Headlines;The latest news and headlines from Yahoo! News. Get breaking news stories and in-depth coverage with videos and photos.;news
9;https://www.reuters.com/;Reuters | Breaking International News & Views;Find latest news from every corner of the globe at Reuters.com, your online source for breaking international news coverage.;news
1;https://www.etonline.com/;The Leading Source for Entertainment and Celebrity News | Entertainment Tonight;Entertainment Tonight (ET) is the authoritative source on entertainment and celebrity news with unprecedented access to Hollywood's biggest stars, upcoming movies, and TV shows.;entertainment
2;https://www.cnn.com/entertainment;Entertainment | CNN;View entertainment news and videos for the latest movie, music, TV and celebrity headlines on CNN.com;entertainment
4;https://www.entertainment.com/;Entertainment Coupons;Entertainment is the leader in discounts and promotions with over 500,000 ways to save across the US & Canada. Enjoy the biggest discounts from 2-for-1 and 50% off dining, travel, attractions, and much more!;entertainment
5;https://www.merriam-webster.com/dictionary/entertainment;Entertainment Definition & Meaning - Merriam-Webster;The meaning of ENTERTAINMENT is amusement or diversion provided especially by performers. How to use entertainment in a sentence.;entertainment
6;https://www.foxnews.com/entertainment;Entertainment | Fox News;Celebrity gossip and entertainment news from FOXNews.com. Celebrity gossip, fashion, travel, lifestyle and arts and entertainment news headlines plus in-depth features and video clips.;entertainment
7;https://apnews.com/entertainment;Entertainment News: Latest Celebrity, Music & TV News | AP News;Discover breaking entertainment news from The Associated Press. AP News has the latest entertainment news including celebrity, music, TV & more.;entertainment
10;https://www.yahoo.com/entertainment/;Yahoo Entertainment;Yahoo Entertainment is your source for the latest TV, movies, music, and celebrity news, including interviews, trailers, photos, and first looks.;entertainment
2;https://www.espn.com/;ESPN - Serving Sports Fans. Anytime. Anywhere.;Visit ESPN for live scores, highlights and sports news. Stream exclusive games on ESPN+ and play fantasy sports.;sports
3;https://www.foxsports.com/;FOX Sports News, Scores, Schedules, Odds, Shows, Streams & Videos | FOX Sports;Watch FOX Sports and view live scores, odds, team news, player news, streams, videos, stats, standings & schedules covering NFL, MLB, NASCAR, WWE, NBA, NHL, college sports & more!;sports
4;https://www.cbssports.com/;CBS Sports - News, Live Scores, Schedules, Fantasy Games, Video and more. - CBSSports.com;CBS Sports features live scoring, news, stats, and player info for NFL football, MLB baseball, NBA basketball, NHL hockey, college basketball and football.;sports
5;https://www.nbcsports.com/;NBC Sports - news, scores, stats, rumors, videos, and more;Stay up-to-date with the latest sports news and scores from NBC Sports.;sports
6;https://www.usatoday.com/sports/;Sports News, Scores, Predictions and Analysis - USA TODAY;USA TODAY provides the latest sports news, scores, schedules, stats, odds and more for the NFL, MLB, NBA, NHL, college sports and more.;sports
7;https://www.nytimes.com/section/sports;Sports - The New York Times;Find breaking news, features and analysis on the NFL, NBA, MLB, golf, tennis, soccer, NCAA, NHL, World Series, Super Bowl, Olympics, World Cup and more.;sports
9;https://apnews.com/sports;Sports: Latest Sports News & Sports Articles | AP News;Get the latest sports news from The Associated Press. Don't miss any updates from all your favorite teams including the MLB, NFL, MBA, NHL, and more.;sports
10;https://www.reuters.com/sports/;Sports News | Breaking & Latest Sports News | Reuters;Find latest sports news from every corner of the globe at Reuters.com, your online source for breaking international news coverage.;sports
1;https://www.nbcnews.com/;NBC News - Breaking News & Top Stories - Latest World, US & Local News | NBC News;Go to NBCNews.com for breaking news, videos, and the latest top stories in world news, business, politics, health and pop culture.;news
2;https://www.foxnews.com/;Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos;Breaking News, Latest News and Current News from FOXNews.com. Breaking news and video. Latest Current News: U.S., World, Entertainment, Health, Business, Technology, Politics, Sports.;news
3;https://www.cnn.com/;Breaking News, Latest News and Videos | CNN;View the latest news and breaking news today for U.S., world, weather, entertainment, politics and health at CNN.com.;news
4;https://abcnews.go.com/;ABC News - Breaking News, Latest News and Videos;Your trusted source for breaking news, analysis, exclusive interviews, headlines, and videos at ABCNews.com;news
5;https://www.npr.org/sections/news/;News: U.S. and World News Headlines : NPR;NPR news, audio, and podcasts. Coverage of breaking stories, national and world news, politics, business, science, technology, and extended coverage of major national and world events.;news
6;https://apnews.com/;Associated Press News: Breaking News, Latest Headlines and Videos | AP News;Read the latest headlines, breaking news, and videos at APNews.com, the definitive source for independent journalism from every corner of the globe.;news
7;https://www.cbsnews.com/;CBS News - Breaking news, 24/7 live streaming news & top stories;Watch CBS News live and get the latest, breaking news headlines of the day for national news and world news today.;news
8;https://news.yahoo.com/;Yahoo News - Latest News & Headlines;The latest news and headlines from Yahoo! News. Get breaking news stories and in-depth coverage with videos and photos.;news
9;https://www.reuters.com/;Reuters | Breaking International News & Views;Find latest news from every corner of the globe at Reuters.com, your online source for breaking international news coverage.;news
10;https://www.bbc.com/news/world;World - BBC News;Get the latest BBC World News: international news, features and analysis from Africa, the Asia-Pacific, Europe, Latin America, the Middle East, South Asia, and the United States and Canada.;news
1;https://www.etonline.com/;The Leading Source for Entertainment and Celebrity News | Entertainment Tonight;Entertainment Tonight (ET) is the authoritative source on entertainment and celebrity news with unprecedented access to Hollywood's biggest stars, upcoming movies, and TV shows.;entertainment
2;https://www.cnn.com/entertainment;Entertainment | CNN;View entertainment news and videos for the latest movie, music, TV and celebrity headlines on CNN.com;entertainment
4;https://www.entertainment.com/;Entertainment Coupons;Entertainment is the leader in discounts and promotions with over 500,000 ways to save across the US & Canada. Enjoy the biggest discounts from 2-for-1 and 50% off dining, travel, attractions, and much more!;entertainment
5;https://www.merriam-webster.com/dictionary/entertainment;Entertainment Definition & Meaning - Merriam-Webster;The meaning of ENTERTAINMENT is amusement or diversion provided especially by performers. How to use entertainment in a sentence.;entertainment
6;https://www.foxnews.com/entertainment;Entertainment | Fox News;Celebrity gossip and entertainment news from FOXNews.com. Celebrity gossip, fashion, travel, lifestyle and arts and entertainment news headlines plus in-depth features and video clips.;entertainment
8;https://apnews.com/entertainment;Entertainment News: Latest Celebrity, Music & TV News | AP News;Discover breaking entertainment news from The Associated Press. AP News has the latest entertainment news including celebrity, music, TV & more.;entertainment
1;https://www.espn.com/;ESPN - Serving Sports Fans. Anytime. Anywhere.;Visit ESPN for live scores, highlights and sports news. Stream exclusive games on ESPN+ and play fantasy sports.;sports
2;https://www.foxsports.com/;FOX Sports News, Scores, Schedules, Odds, Shows, Streams & Videos | FOX Sports;Watch FOX Sports and view live scores, odds, team news, player news, streams, videos, stats, standings & schedules covering NFL, MLB, NASCAR, WWE, NBA, NHL, college sports & more!;sports
4;https://www.usatoday.com/sports/;Sports News, Scores, Predictions and Analysis - USA TODAY;USA TODAY provides the latest sports news, scores, schedules, stats, odds and more for the NFL, MLB, NBA, NHL, college sports and more.;sports
5;https://www.nbcsports.com/;NBC Sports - news, scores, stats, rumors, videos, and more;Stay up-to-date with the latest sports news and scores from NBC Sports.;sports
6;https://www.cbssports.com/;CBS Sports - News, Live Scores, Schedules, Fantasy Games, Video and more. - CBSSports.com;CBS Sports features live scoring, news, stats, and player info for NFL football, MLB baseball, NBA basketball, NHL hockey, college basketball and football.;sports
7;https://www.reuters.com/sports/;Sports News | Breaking & Latest Sports News | Reuters;Find latest sports news from every corner of the globe at Reuters.com, your online source for breaking international news coverage.;sports
8;https://www.nytimes.com/section/sports;Sports - The New York Times;Find breaking news, features and analysis on the NFL, NBA, MLB, golf, tennis, soccer, NCAA, NHL, World Series, Super Bowl, Olympics, World Cup and more.;sports
10;https://apnews.com/sports;Sports: Latest Sports News & Sports Articles | AP News;Get the latest sports news from The Associated Press. Don't miss any updates from all your favorite teams including the MLB, NFL, MBA, NHL, and more.;sports
1;https://www.nbcnews.com/;NBC News - Breaking News & Top Stories - Latest World, US & Local News | NBC News;Go to NBCNews.com for breaking news, videos, and the latest top stories in world news, business, politics, health and pop culture.;news
2;https://www.cnn.com/;Breaking News, Latest News and Videos | CNN;View the latest news and breaking news today for U.S., world, weather, entertainment, politics and health at CNN.com.;news
3;https://www.foxnews.com/;Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos;Breaking News, Latest News and Current News from FOXNews.com. Breaking news and video. Latest Current News: U.S., World, Entertainment, Health, Business, Technology, Politics, Sports.;news
4;https://abcnews.go.com/;ABC News - Breaking News, Latest News and Videos;Your trusted source for breaking news, analysis, exclusive interviews, headlines, and videos at ABCNews.com;news
5;https://www.npr.org/sections/news/;News: U.S. and World News Headlines : NPR;NPR news, audio, and podcasts. Coverage of breaking stories, national and world news, politics, business, science, technology, and extended coverage of major national and world events.;news
6;https://www.cbsnews.com/;CBS News - Breaking news, 24/7 live streaming news & top stories;Watch CBS News live and get the latest, breaking news headlines of the day for national news and world news today.;news
7;https://news.yahoo.com/;Yahoo News - Latest News & Headlines;The latest news and headlines from Yahoo! News. Get breaking news stories and in-depth coverage with videos and photos.;news
8;https://apnews.com/;Associated Press News: Breaking News, Latest Headlines and Videos | AP News;Read the latest headlines, breaking news, and videos at APNews.com, the definitive source for independent journalism from every corner of the globe.;news
9;https://www.reuters.com/;Reuters | Breaking International News & Views;Find latest news from every corner of the globe at Reuters.com, your online source for breaking international news coverage.;news
1;https://www.etonline.com/;The Leading Source for Entertainment and Celebrity News | Entertainment Tonight;Entertainment Tonight (ET) is the authoritative source on entertainment and celebrity news with unprecedented access to Hollywood's biggest stars, upcoming movies, and TV shows.;entertainment
2;https://www.cnn.com/entertainment;Entertainment | CNN;View entertainment news and videos for the latest movie, music, TV and celebrity headlines on CNN.com;entertainment
3;https://www.entertainment.com/;Entertainment Coupons;Entertainment is the leader in discounts and promotions with over 500,000 ways to save across the US & Canada. Enjoy the biggest discounts from 2-for-1 and 50% off dining, travel, attractions, and much more!;entertainment
7;https://www.foxnews.com/entertainment;Entertainment | Fox News;Celebrity gossip and entertainment news from FOXNews.com. Celebrity gossip, fashion, travel, lifestyle and arts and entertainment news headlines plus in-depth features and video clips.;entertainment
8;https://apnews.com/entertainment;Entertainment News: Latest Celebrity, Music & TV News | AP News;Discover breaking entertainment news from The Associated Press. AP News has the latest entertainment news including celebrity, music, TV & more.;entertainment
9;https://www.merriam-webster.com/dictionary/entertainment;Entertainment Definition & Meaning - Merriam-Webster;The meaning of ENTERTAINMENT is amusement or diversion provided especially by performers. How to use entertainment in a sentence.;entertainment
10;https://www.yahoo.com/entertainment/;Yahoo Entertainment;Yahoo Entertainment is your source for the latest TV, movies, music, and celebrity news, including interviews, trailers, photos, and first looks.;entertainment
